iter	Logloss
0	0.6870593579
1	0.6812074264
2	0.676005388
3	0.6706696364
4	0.6652166952
5	0.6596418031
6	0.6539943546
7	0.6489233437
8	0.6443791828
9	0.6393913719
10	0.6341155117
11	0.6291995765
12	0.6238760523
13	0.6194578412
14	0.6146470034
15	0.6098772309
16	0.605377376
17	0.602104824
18	0.5973890617
19	0.5928960405
20	0.5898510488
21	0.5863838098
22	0.5822763847
23	0.5784861732
24	0.574831046
25	0.5713530199
26	0.5681312403
27	0.5654443118
28	0.5620243496
29	0.5589831566
30	0.5555067696
31	0.552433882
32	0.549200024
33	0.5460939665
34	0.5432643837
35	0.5400316869
36	0.5369493988
37	0.5338314143
38	0.530471492
39	0.5274993947
40	0.5259006831
41	0.5229154003
42	0.5205635579
43	0.5179819463
44	0.5156442365
45	0.5134560512
46	0.5111347925
47	0.5083521447
48	0.5062612811
49	0.5036664148
50	0.5012991127
51	0.4995507397
52	0.4975512231
53	0.4950874885
54	0.492941668
55	0.490846459
56	0.4884906474
57	0.4874498083
58	0.4855400545
59	0.4834436391
60	0.4821467605
61	0.4805254291
62	0.4786744476
63	0.4763173824
64	0.4742355984
65	0.4726185853
66	0.4714000822
67	0.469407778
68	0.468679855
69	0.4671864807
70	0.4654383575
71	0.463860749
72	0.4622511967
73	0.4603867
74	0.4587047282
75	0.4569151813
76	0.4557795001
77	0.4544286853
78	0.4529562744
79	0.4515976193
80	0.4503138848
81	0.4490501145
82	0.4477335446
83	0.4470587958
84	0.4465454822
85	0.4452662513
86	0.4436208407
87	0.4424953995
88	0.4415382422
89	0.4403938838
90	0.4394715282
91	0.4382256924
92	0.4371386256
93	0.4358046882
94	0.4350748426
95	0.433885216
96	0.4331322982
97	0.4326236478
98	0.4312063705
99	0.4297950203
100	0.4290104454
101	0.4279978381
102	0.4271056716
103	0.4263257073
104	0.4252610585
105	0.4242934938
106	0.4233692681
107	0.4223437583
108	0.4213829713
109	0.4210823114
110	0.4201781154
111	0.4194457552
112	0.4185013235
113	0.4178517313
114	0.4175798118
115	0.4170773766
116	0.4161632154
117	0.4153401417
118	0.4145524754
119	0.413795063
120	0.4131120371
121	0.4128772242
122	0.4122043479
123	0.4112825721
124	0.4104696079
125	0.4095240863
126	0.4087081567
127	0.4083375129
128	0.4075434143
129	0.4069703998
130	0.4061884518
131	0.4056191232
132	0.4052322618
133	0.4047639278
134	0.4039866882
135	0.4031403617
136	0.402600397
137	0.4023573215
138	0.4016190326
139	0.4011794052
140	0.4003441604
141	0.3996013327
142	0.3989388126
143	0.3982550178
144	0.3979518982
145	0.3972479276
146	0.3966996585
147	0.3963191269
148	0.3957096064
149	0.3950415787
150	0.3945982303
151	0.3944814504
152	0.3940232755
153	0.3935142611
154	0.3931314378
155	0.3927272295
156	0.3923755211
157	0.3920596047
158	0.3917364388
159	0.3911067591
160	0.3906275538
161	0.3900612544
162	0.38968633
163	0.3892143793
164	0.3888088015
165	0.3883898024
166	0.3879603626
167	0.387490336
168	0.3870072516
169	0.3865202073
170	0.3860021868
171	0.3856779648
172	0.3855357955
173	0.3851217973
174	0.3848980108
175	0.3846701508
176	0.3841700423
177	0.3838624268
178	0.3835821821
179	0.3833757093
180	0.382979633
181	0.3825603029
182	0.3821596829
183	0.3816667121
184	0.3813514327
185	0.3809748306
186	0.3805002994
187	0.3801898469
188	0.379847854
189	0.3794352678
190	0.3789460053
191	0.3785633551
192	0.3781981185
193	0.3777736446
194	0.377517958
195	0.3773966969
196	0.3771435637
197	0.3769016115
198	0.3766974274
199	0.3764648265
200	0.3762064801
201	0.3757747357
202	0.3755255449
203	0.3752640011
204	0.3748982553
205	0.3746335237
206	0.3743641874
207	0.374248041
208	0.3739276001
209	0.3736723082
210	0.3733776465
211	0.3730893846
212	0.3727453771
213	0.3725985024
214	0.372390483
215	0.3722901823
216	0.371978489
217	0.371664721
218	0.3714711863
219	0.3711653783
220	0.370820777
221	0.3705106099
222	0.3702480535
223	0.3700323594
224	0.3697186771
225	0.3694078214
226	0.369095614
227	0.3689997345
228	0.3688121882
229	0.3683734918
230	0.368072967
231	0.3676460884
232	0.3673384456
233	0.3670703789
234	0.3669355591
235	0.3667481211
236	0.3664013317
237	0.3660948922
238	0.3657664582
239	0.3655524652
240	0.3655143136
241	0.3652673205
242	0.3649506238
243	0.364764775
244	0.3644163715
245	0.3640509779
246	0.3638264594
247	0.3636640919
248	0.3634307484
249	0.3632687934
250	0.3631351948
251	0.3630041483
252	0.3628531224
253	0.3626895564
254	0.3624882604
255	0.3621972451
256	0.3619107661
257	0.361642855
258	0.3613991266
259	0.3611924507
260	0.3609791353
261	0.360705295
262	0.3605061486
263	0.3603620886
264	0.3602242759
265	0.3602045989
266	0.3598827997
267	0.3594826968
268	0.3592412987
269	0.3590130079
270	0.3588104016
271	0.358591001
272	0.3584867227
273	0.3583187303
274	0.3581704613
275	0.3578923447
